Adam	n. 亚当
track	n. 留下的痕迹|n. 铁路轨道|n. 一首歌曲或短音乐作品|v. 循迹查出位置|n. 脚印或足迹|n. 小路或通道|n. 物体运行的路线|n. 比赛或训练场地|n. 发展的方向和进展|n. 对情况的掌握|n. 唱片或录音中的声音|n. 录音载体上的音轨
tracker	n. 追踪者；追踪工具|n. 活动现场的监测人员|n. 监测程序|n. 管风琴传动木条|n. 音乐编曲软件|n. 使用该软件创作音乐的人|n. 文件共享中的监测程序|n. 浮动利率抵押贷款
tractor	n. 农用拖拉机|v. 用拖拉机整理土地|n. 牵引半挂车的卡车|n. 牵引某物的机器|v. 驾驶拖拉机|v. 用牵引光束移动|n. 可移动的无底鸡舍|n. 前置螺旋桨飞机|n. 英国铁路第37型机车|n. 一种金属治疗杆|v. 用过时疗法治疗
trade	n. 贸易；买卖活动|n. 交换；以物易物|n. 手艺；专业技能|v. 从事交易|v. 用某物换某物|adj. 普通商业货的|n. 一次交易|n. 某类熟练工种|n. 业内人士；相关行业|n. 技术性职业|n. 商业客流；生意|n. 信风
trademark	n. 商标|n. 标志；典型特征|adj. 标志性的；典型的|n. 专有商业名称|v. 注册为商标|v. 给产品标上商标
trading	adj. 从事贸易的；贸易的|n. 贸易；交易活动|v. trade 的现在分词和动名词|adj. 贸易商常去的|adj. 可被收买的；靠交易谋利的
tradition	n. 代代相传的传统|n. 共同认可的传统体系|n. 固定的传统风格或做法|n. 交付、移交|v. 传承下去
traditional	adj. 传统的；沿袭传统的|adj. 遵循传统的；守旧的|adj. 口传的；由传统传下来的|adj. 繁体中文的|n. 传统主义者|n. 传统作品或惯例|n. 繁体中文（简称）|adj. 作者不详的传统音乐|n. 传统艺术（简称）|n. 传统握法（简称）
traditionally	adv. 按照传统地|adv. 历来；传统上一直
traffic	n. 道路交通流量|n. 商业往来或人员货物流动|n. 非法交易|n. 信息或数据流量|v. 从事买卖或交换|v. 唯利是图地讨价交易|adj. 拥堵的|n. 市场上的商品|v. 以物换物
tragedy	n. 悲剧作品|n. 惨剧；灾难|n. 悲剧体裁
tragic	adj. 悲惨的；造成巨大悲痛的|adj. 悲剧作品的；与悲剧有关的|adj. 遭遇悲剧的；悲剧受害者的|adj. 尴尬可笑的；糟糕得掉价的|n. 狂热粉丝|n. 悲剧作家|n. 悲剧作品
trail	n. 痕迹；踪迹|n. 小路；步道|v. 跟随；追踪|v. 拖着走|n. 行程；活动路线|n. 预告片|v. 留下……的痕迹|v. 预先播出；发布预告|v. 拖曳着走；缓慢飘动|v. 蔓生；攀爬生长|v. 懒散或不情愿地跟在后面|v. 落后；比分落后
train	n. 连续排列的一队|v. 练习能力|v. 训练并培养|v. 锻炼体能|n. 拖曳的长条部分|v. 按序前进|v. 调整枪的方向|v. 引导植物生长|v. 训练人工智能模型|v. 用火车运输|n. 拖曳的部分|n. 拖曳的部分
trainer	n. 教练；训练者|n. 运动鞋（英、爱尔兰）|n. 运动队伤病护理人员|n. 自行车室内骑行台|n. 电子游戏作弊补丁|n. trainers的定语形式
training	n. 训练这一过程|n. 技能培训|v. 正在训练；训练|n. 教养|n. 调制解调器协商|n. 语音识别训练
trait	n. 特征；特点|n. 可复用的功能集合
traitor	n. 叛徒；叛国者|n. 与本国交战的叛徒|n. 背叛信任的人|adj. 叛徒般的；背叛性的|v. 背叛；欺骗
trajectory	n. 运动路径|n. 发展轨迹|n. 空间运行轨道|n. 系统状态演变路径
tram	n. 有轨电车|v. 乘有轨电车出行|n. 运料轨道车|n. 园区接驳车|n. 空中缆车|n. 无轨观光列车|v. 经营有轨车道|v. 用轨道车运输|n. 马拉有轨车|n. 车辕|n. 轨道的一根钢轨|n. 纬丝
tramp	n. 流浪者|v. 沉重地走|v. 长途跋涉|n. 无固定航线的船|n. 长途跋涉|n. 小型蹦床|v. 搭便车|v. 反复踩踏|v. 走遍、漫游|n. 轻蔑地指放荡的女人|n. 杂散而多余的|n. 护脚金属板
transaction	n. 事务的进行|n. 交易；协议|n. 交换；交易|n. 资金转账|n. 原子操作|n. 学会会议记录|n. 社会互动
transcend	v. 超越界限|v. 胜过；超过|v. 向上攀登
transcendence	n. 超越通常界限|n. 超越物质世界|n. 超出通常感知|n. 卓越非凡|n. 超越数的性质
transcendentalist	n. 先验论者
transcribe	vt. 抄写, 译, 意译, 录制, 改编
transfer	n. 转移；转交|n. 一次转移；转交|n. 换乘|v. 转移；转交|v. 换乘|n. 转印图案；传递热量|n. 调动人员|n. 转会球员|n. 转移到另一座椅面|v. 转印|v. 被转移；转到别处|v. 转让；转交控制权
transferability	n. 可转移性, 可转让性
transferable	adj. 可转移的；可迁移的
transform	n. 转换操作|v. 使外形彻底改变|v. 改变性质或功能|n. 转换后的函数|v. 进行数学变换|v. 发生改变|n. 转换断层|v. 用变压器转换|v. 使细胞发生转化
transformation	n. 转变；改变的过程或状态|n. 焕然一新的变化|n. 数学变换|n. 句法转换|n. 细胞转化|n. 南非民主转型
transformative	adj. 带来深刻持久改变的|adj. 转换生成理论的；转换的
transformer	n. 变换者；转换装置|n. 变形玩具|n. 变压器|n. 人工智能中的 Transformer 模型|n. 《变形金刚》中的变形机器人|n. Transformer 的另一种大小写形式
transgression	n. 违反法律、责任或命令|n. 越过社会认可的边界|n. 海侵
transient	adj. 短暂的；转瞬即逝的|adj. 短时间存在的|n. 短暂的事物|adj. 偶发的；孤立的|adj. 经过的；转手的|n. 短促信号；瞬态|n. 过客；短暂停留者|n. 无家可归者|adj. 随时间衰减的|adj. 会离开且不再返回的|adj. 中间的；过渡性的|adj. 对外产生作用的
transistor	n. 晶体管；半导体器件|n. 晶体管收音机
transit	n. 经过；穿过|n. 转运；运输|v. 穿过；经过|n. 公共交通|n. 天体经过|v. 转运；运送|n. 占星中的过境|n. 测量仪器|n. 导航中的连线|n. 厢式货车|n. 福特厢式货车|v. 翻转测量仪器
transition	n. 过渡；转变|v. 转变；过渡|n. 话语过渡|n. 主题过渡|n. 转调|n. 攻防转换|v. 使过渡；使转变|n. 同类碱基替换|n. 分娩进入最后阶段|n. 教育支持过渡|n. 前后运动转换|n. 性别转换过程
translate	v. 翻译|v. 口译|n. 平移后的集合|v. 移动位置|v. 挪动界线|v. 转移疾病|v. 平移|v. 使失去知觉|v. 翻修旧衣物出售
translation	n. 翻译行为|n. 译文；翻译结果
transmissible	a. 能递送的, 可传递的, 可传达的
transmission	n. 传输；传送|n. 传递物；传播|n. 变速器；传动装置|n. 被传送；传输情况|n. 神经冲动传递|n. 疾病传播|n. 继承权的传递
transmit	v. 传送；传递|v. 传播；传染|v. 传承；遗传|v. 传送信息；播发|v. 传导；传递能量或力量|v. 发射；发出信号|v. 传出；传开
transparency	n. 透明性；透明度|n. 公开透明；可受查验|n. 透明胶片；幻灯片底片|n. 透光画|n. 透明的人或物|n. 近乎无损的透明效果
transparent	adj. 透明的；可看穿的|adj. 公开透明的|adj. 显而易见的|adj. 感知上无损的|adj. 后台自动的；用户察觉不到的|n. 透明物；透明部分|n. 跨性别者的父母
transplant	n. 移植行为|v. 移栽植物|v. 迁置或重新安置|n. 移植的对象|n. 器官移植手术|n. 移植的器官或组织|n. 迁居者|v. 移植器官或组织
transport	n. 运输；运送|v. 运送；运输|n. 运输工具|n. 交通运输系统|v. 使陶醉；使忘我|n. 狂喜；忘我|n. 牵引车挂车；大型货车|n. 录音带传送机构|n. 被流放的罪犯|v. 流放到刑罚殖民地
transportation	n. 交通运输；运输过程|n. 交通工具|n. 流放；发配|n. 车票；车费
trap	n. 捕捉动物的陷阱|n. 骗人的圈套|v. 捕获；困住|v. 诱入圈套；使陷入困境|n. 突然释放装置|n. 管道存水弯|n. 嘴巴|v. 安装存水弯|v. 捕猎为生或设陷阱捕猎|v. 突然离开；逃走|n. 地图上的诱导性地点|n. 针对跨性别女性的冒犯性俚语
trash	n. 垃圾；废弃物|n. 劣质东西；差劲的事物|v. 丢弃|v. 弄得一团糟|v. 在比赛中彻底击败|n. 垃圾桶|n. 不可信或吹嘘过头的说法|n. 社会地位低下的人|n. 过度痴迷某个粉圈的人|n. 回收站|v. 贬低；羞辱；猛烈批评|n. 农作物残茬和杂草
travail	n. 分娩的痛苦, 阵痛, 辛劳|vi. 发生阵痛, 辛劳
travel	n. 旅行活动|v. 旅行|v. 游历某地|n. 一连串旅程|n. 旅行记述|n. 路线上的流动|v. 移动或传递|v. 带球走步|n. 机械行程|n. 分娩阵痛|n. 按键下移距离|v. 迫使旅行
traveler	n. 旅行者；旅客
travell	n. 赶畜；旅行；行驶速度
traveller	n. 旅行者|n. 住在车辆中的迁徙者|n. 出差推销员|n. 另一种大写形式|n. 流程随行记录表|n. 三路开关连接线|n. 索具滑动金属环|n. 幕帘滑轨|n. 桥牌计分传阅表|n. 外带酒饮|n. 爱尔兰迁徙族群成员|n. 挪威迁徙族群成员
tray	n. 托盘；托架|n. 一托盘的东西|n. 设备托架|n. 系统托盘|v. 放到托盘上|n. 散装处理器包装|n. 卡车载货平台|n. 烦恼；苦痛|n. 跨性别同性恋者|v. 坐托盘滑雪坡|v. 使烦恼；使悲伤|v. 背叛
tread	n. 一步；脚步|n. 轮胎胎纹|v. 走；踩着走|v. 踩在；踏上|v. 以某种方式行事；谨慎处理|n. 步伐；走路方式|n. 脚步声|n. 楼梯踏面|n. 鞋底纹路|v. 踩压；踏出|v. 用脚踩动|v. 走遍；通过行走完成
treason	n. 叛国罪|n. 严重的背叛
treasure	n. 珍宝；财富|n. 珍贵的人或事物|v. 珍视；珍爱|n. 亲爱的；宝贝|v. 珍藏；妥善保存|n. 文学性委婉说法|v. 使富足
treasure-house	n. 宝库
treasury	n. 财政部门|n. 国债|n. 藏宝库|n. 国库|n. 国债|n. 珍品集|n. 珍宝
treat	n. 款待；享受|v. 对待；处理|v. 请客；款待|n. 惊喜；乐事|n. 小吃；零食|v. 谈判；协商|v. 论述；讨论|v. 把……作为某种对象来论述|v. 治疗|v. 处理；使发生特定反应|v. 使享受到特别的事物|n. 协商；谈判
treatment	n. 对待方式；待遇|n. 治疗；疗法|n. 材料处理；加工|n. 影视故事梗概|n. 专题论述；正式说明|n. 娱乐；款待|n. 严厉惩罚；报复
treaty	n. 正式国际协议|n. 谈判达成协议|n. 谈判后的协议|n. 对待方式|n. 对主题的讨论|n. 专题论述|n. 恳求|v. 通过订约使进入某种安排|v. 订立条约
tree	n. 树|v. 赶上树|n. 树状植物|n. 树形置物架|n. 鞋楦|n. 树状数据结构|n. 树状列表|n. 分支结构|v. 放到树上|v. 用鞋楦撑鞋|v. 躲到树上|n. 马鞍架
tree-ring	树木年轮
trek	n. 艰难的旅程|v. 艰难地长途旅行|adj. 《星际迷航》的简称|n. 很长的一段路|v. 徒步穿越山区|n. 牛车迁徙|n. 布尔人大迁徙|v. 赶牛车旅行|v. 步行前往
tremble	n. 颤抖；震动|v. 颤抖；发抖|v. 害怕；战栗
tremendous	adj. 令人震撼的；威势惊人的|adj. 巨大的；极大的|adj. 极好的；了不起的
trench	n. 狭长的沟|n. 战壕|v. 挖狭长的沟|n. 考古探沟|n. 风衣|v. 挖战壕|v. 给土地开沟|v. 侵犯，越过界限|v. 趋向，指向|v. 切割，刻出|v. 深翻土地
trend	n. 发展方向|n. 趋势；倾向|n. 流行风潮|v. 朝向；延伸|n. 趋势线|v. 走红；成为热门|n. 锚柄下端|n. 锚泊夹角|n. 洁净羊毛|v. 使转弯；使弯曲|v. 清洁羊毛
trey	n. 三点牌或骰子|n. 三点得分|n. 第三个同名者|n. 三分球|n. 三便士硬币|n. 鹿角的第三个分枝
trial	adj. 试用的；试验性的|n. 试验；测试|n. 审判；庭审|adj. 与测试或审判有关的|n. 医学试验|n. 试用；试行|n. 磨难；令人烦恼的人或事|v. 试用；测试|v. 试用运动员|adj. 三部分组成的|adj. 三倍的；三重的|adj. 表示三者的语言形式
triangle	n. 三角形|n. 三角恋|n. 三角尺|n. 三角铁|n. 台球三角架|n. 直角三角尺|n. 三方关联结构|n. 三柱刑架|n. 三角蝶属蝴蝶|n. 铁路三角线
tribal	adj. 部落的；与部落有关的|adj. 按部落组织的|adj. 带有部落风格的|n. 部落风格图案；部落纹身|adj. 系统发生的；种系发生的|n. 部落成员
tribe	n. 部落；族群|n. 志趣相投的一群人|n. 部落民族；族人|n. 一类人或事物|v. 分类；分组|n. 被视为“原始民族”的群体|n. 一起生活的猿群|n. 族|n. 狂欢节印第安人团体|n. 动物群体的集合名词|n. 母系繁育系群
tribute	n. 致敬、感谢或赞美的表示|n. 国家向另一国家缴纳的贡金|n. 勒索来的保护费|v. 缴纳贡物|n. 封建臣属交给领主的贡赋|n. 采矿所得中给矿工的分成|n. 成人网络俚语中的相关省略语
trick	n. 诡计；骗局|n. 戏法；魔术|n. 技巧；特技动作|n. 诀窍；巧办法|v. 欺骗；骗使相信|adj. 带欺骗性的|adj. 会表演花招的|adj. 有毛病的；不可靠的|n. 恶作剧；捣蛋行为|n. 一轮牌|adj. 很酷的|n. 习惯性小动作
tricky	adj. 棘手的；复杂的|adj. 狡猾的；会耍花招的|adj. 与卖淫交易有关的
trifle	n. 琐事；无关紧要的事物|v. 轻率对待；玩弄|n. 英式层叠甜点|n. 一点点；少量|v. 嬉闹；不认真地说笑|v. 随意摆弄；漫不经心地玩弄|v. 浪费；虚耗|n. 一种锡铅合金|n. 用该合金制成的器具|v. 使变得无关紧要
trigger	n. 枪的扳机|n. 引发事件的诱因|n. 引起负面情绪的刺激|v. 引发、促成|adj. trig 的比较级|n. 启动装置|n. 唤起创伤记忆的刺激|v. 开火|v. 引起强烈负面反应|v. 启动、开始起作用|n. 鼓组电子触发器|n. 铜管乐器变调装置
trigonometry	n. 三角学；三角函数学
trillion	num. 一万亿|num. 多得不得了|n. 篮球统计表中的全零表现|num. 一百京（旧式长计数法）
trim	adj. 身体健康匀称|adj. 身材苗条匀称|n. 装饰边条|v. 修剪；削减多余部分|adj. 整洁利落|n. 修剪头发|n. 服饰装备|n. 整体状态|n. 车辆配置或外观|v. 装饰|v. 整理；调节|adv. 状态良好地
trip	n. 旅行；行程|n. 绊倒；失足|v. 绊倒；被绊住|v. 旅行；出行|n. 药物幻觉体验|n. 沉迷；陶醉|n. 社交失礼；失言|n. 跳闸装置；断路开关|n. 轻快的脚步|n. 使人失足；绊倒他人|v. 使绊倒|v. 犯错；失当
triple	adj. 三重的；由三个部分组成|adj. 三倍的|n. 三倍的数量|v. 使乘三；使变成三倍|v. 变成三倍|adj. 供三人使用的|adj. 三折的；三层的|adj. 有三个方面的；三重含义的|n. 三份酒|n. 三分；三次得分|n. 三垒安打|n. 三分球
triumph	n. 胜利；决定性成功|v. 战胜；占上风|n. 胜利后的喜悦|n. 杰作；极佳成果|v. 成功；胜出|v. 兴盛；蓬勃发展|n. 凯旋仪式|n. 盛大展示；仪式性游行|n. 王牌|n. 一种纸牌游戏|n. 古罗马凯旋典礼|n. 一种纸牌戏法
trivial	adj. 无关紧要的；微不足道的|adj. 普通的；平庸的|adj. 关于琐事的|adj. 物种专名的|adj. 最简单情形的|adj. 显而易见的|adj. 与三艺有关的|adj. 真假不影响结果的|n. 三艺中的一门
triviality	n. 琐事, 平凡, 浅薄
trolley	n. 有轨电车|n. 购物车|v. 乘电车出行|n. 电车集电杆|n. 电车系统|n. 手推车|n. 担架车|v. 乘电车旅行|n. 起重机吊运小车|n. 电气铁路上的轨道小车|n. 平板车的简称|n. 简易滑车
trolley-bus	n. 无轨电车
trolly	n. 手推车, 货车
troop	n. 一群；一队|n. 骑兵或装甲部队小队|v. 成群移动|v. 像人群一样成队走动|n. 一支军警分队|n. 军队；部队|n. 童军小队|n. 猴群|v. 向前快步行进|n. 单个士兵|n. 演员团体|n. 猫鼬家庭群
tropic	adj. 热带的|n. 回归线|adj. 气候学上的热带的|adj. 间接促成变化的|adj. 与修辞转义有关的
tropical	adj. 热带的|adj. 炎热潮湿的；有热带气候特点的|adj. 比喻的|adj. 热带几何的|n. 热带植物
tropicana	[复]n.具有热带特性的东西,热带产物
trouble	n. 困境；麻烦|n. 问题；难题|n. 毛病；缺点|v. 使烦恼；使焦虑|v. 打扰；麻烦|n. 惹麻烦的人|n. 内心烦恼；不安|n. 动乱；骚乱|n. 额外费力；麻烦|n. 做某事有困难|n. 疾病；身体毛病|n. 故障
troublemaker	n. 惹麻烦的人
troublesome	adj. 麻烦的；令人烦恼的
trough	n. 动物食槽或水槽|n. 波浪或波形的低谷|n. 槽状容器|n. 蓄水或排水的窄沟|n. 输送液体的槽沟|n. 经济或趋势的低点|v. 粗俗地大吃大喝|n. 槽状容器（澳新）|n. 长条公共小便池|n. 屋檐排水槽（加拿大）|n. 天气图上的低压槽|n. trough 的另一种大小写形式
troupe	n. 表演团体|n. 合作群体|v. 随团巡演
trouser	n. 裤子的；裤腿的|v. 把钱放进口袋|n. 一条裤子|v. 偷偷拿走|v. 私吞；把不属于自己的东西留下
trousers	n. 裤子
troy	adj. 特洛伊重量制的
truck	n. 卡车；货车|v. 驾驶卡车|v. 用卡车运输|v. 交换；以物易物|n. 货运铁路车厢|n. 手推车；小车|n. 滑板或旱冰鞋轮架|n. 带轮平台|n. 农产品；杂货|n. 交往；往来|n. 关联；关系|v. 旅行；继续前进
true	adj. 真实的；符合事实的|adj. 准确的；符合标准的|adj. 忠实的；可靠的|adj. 真的；为真|adj. 真正的；正统的|adj. 准确命中的|adj. 对齐的；校准准确的|adj. 公平的；不偏不倚的|adj. 根据真实事件的|adj. 真值为真的|adv. 准确地；不偏地|n. 对齐状态
truly	adv. 如实地；准确地|adv. 真的；确实；由衷地|adv. 非常；极其
trump	n. 王牌花色|n. 一张王牌|n. 隐藏的优势|v. 用王牌压过|v. 打出王牌赢牌|v. 压过；取代|n. 放屁|n. 大象的鼻鸣声|v. 胜过竞争者|v. 胜过；强于|v. 放屁|n. 好人；出色的人
trumpet	n. 小号；号类铜管乐器|v. 发出响亮声音；声音扩放出来|v. 大声宣布；热烈宣传|n. 小号手|n. 大象等发出的洪亮叫声|n. 特朗普支持者|n. 特朗普的热情支持者|v. 吹奏小号|v. 大象发出叫声|v. 发出类似大象的洪亮叫声|n. 替人扬名或吹捧的人|n. 漏斗状导管
trunk	n. 躯干|n. 大行李箱|n. 主干|n. 汽车后备箱|n. 通信主干线路|n. 主通道或主干管道|n. 软件主干|n. 游泳裤|v. 建立共享通信干线|n. 旧式容器或通道|n. 蒸汽机部件|v. 截短
trust	n. 信任|v. 信任、相信可靠|v. 相信属实|adj. 信托的|intj. 相信我|n. 信赖、指望|n. 赊账|n. 依靠的对象|n. 信托持有|n. 信托安排|v. 信赖、依靠|v. 希望、料想
trustworthiness	n. 可信赖, 确实性
trustworthy	adj. 值得信任的；可靠的
truth	n. 真实情况；真相|n. 符合事实；正确性|n. 忠于自己或某人|n. 准确贴合；精确度|n. 深层真实；真理|n. 真理；正确命题|n. 真心话游戏中的“真心话”|v. 校准；修正误差|n. 忠诚；信守|n. 忠诚誓约|n. 真夸克的“顶性”|n. 平台帖子
truthfulness	n. 真实；正当；坦率
try	n. 尝试；试一试|v. 试着做；努力做|n. 尝试品尝；试用|n. 橄榄球达阵得分|n. 美式橄榄球中的得分或附加分|n. 异常处理代码块|v. 试用；试验方法|v. 考验；使难以承受|v. 试穿；试用以判断是否合适|v. 试验；努力探索|v. 使过度受考验；损伤|adj. 精美的；出色的
try-on	n. 试穿|n. 骗人的试探
tsa	abbr. 旅游储蓄协会（Toursit Saving Association）；运输标准化局（Transportation Standardization Agency）；肿瘤特异性抗原（tumor-specific antigen）；（英）培训服务局（Training Services Agency）
tsunami	n. 海啸|n. 大规模涌现
tub	n. 矮宽的容器|n. 浴缸|n. 一桶（盒）的分量|n. 小木桶|v. 放进桶中栽种或存放|v. 在浴缸里洗澡|n. 慢船|n. 形似大盆的结构|n. 一桶货物的计量单位|n. 矿井吊桶|n. 浴桶疗法|n. 肥胖的人
tube	n. 管子；中空圆筒|n. 伦敦地铁|n. 软管容器|n. 管状破浪|n. 电视机|v. 装管；封入管中|v. 乘内胎漂流|v. 插管|n. 旧称的深层地铁线路|n. 罐装啤酒|n. 笨蛋
tubing	n. 管材；管子总称|n. 一段管子；管道系统|n. 在河上套内胎漂流|n. 套内胎滑雪坡|v. tube的现在分词和动名词
tuck	n. 褶裥；折叠|n. 蜷曲姿势|v. 拉拢布料；收起|v. 塞入；掖好|n. 缝合固定的褶裥|n. 腹部除皮手术|n. 抱膝蜷身姿势|v. 吃；大吃|v. 恰好塞入；贴合|v. 蜷成一团|v. 缝出褶裥|n. 钢琴换指动作
tuesday	adv. 在星期二|n. 星期二|n. 平淡的一天
tug	n. 用力一拉|n. 拖船|v. 用力拉出或拖动|v. 反复用力拉|n. 牵引车|n. 拔河绳玩具|v. 用拖船拖带|n. 运木材或重物的车辆|n. 挽具牵引带|n. 提升桶的铁钩|n. 男性自慰|n. 伊顿公学学生
tuition	n. 教学；辅导|n. 学费|n. 辅导课程；教学|n. 照护；保护
tum	n. 肚子；胃
tumble	n. 翻滚；摔倒|v. 翻滚；滚落|v. 迅速下跌|n. 乱堆|v. 把……摔倒|v. 翻筋斗|v. 失控地冲动|v. 弄乱；揉皱|n. 性交|v. 滚磨抛光|v. 性交|v. 混淆资金来源
tumbler	n. 无柄饮料杯|n. 锁芯活动栓片|n. 滚筒抛光装置|n. 蚊子的蛹|n. 加密货币混币服务|n. 翻滚表演者|n. 枪机中的击锤部件|n. 翻飞鸽|n. 印度式饮料杯|n. 使物体翻滚的东西|n. 翻滚猎犬|n. 一种车
tumor	n. 异常肿块；肿瘤
tumour	n. 肿瘤；英式拼写
tune	n. 旋律|n. 歌曲；短乐曲|v. 调准乐器|v. 调校设备|intj. 真好听！|n. 调校；保养调整|n. 调准状态|v. 调到频道|v. 使感官对准；使适应|v. 使更精确或有效|v. 使协调；谱成音乐|v. 赋予某种基调
tunnel	n. 地下或水下通道|v. 挖通或挖穿|n. 穿过障碍物的通道|n. 动物洞穴|n. 像隧道的东西|v. 挖隧道|n. 网络隧道|n. 漏斗|n. 烟囱烟道|n. 采矿横巷|v. 通过隧道传输|v. 置入静脉导管
turbine	n. 涡轮机
turbulence	n. 动荡；紊乱|n. 气流颠簸|n. 流体内部的紊流|n. 一次动荡；一种颠簸
turbulent	adj. 剧烈翻腾的；汹涌不平的|adj. 动荡不安的；混乱的
turkey	n. 火鸡|n. 火鸡肉|n. 保龄球连续三次全中|n. 失败的作品或事物|n. 蠢人；无能的人|adj. 土耳其红的|adj. 土耳其蓝的|n. 几内亚鸟|n. 某些类似火鸡的鸟|n. 装病的人|n. 大旅行袋|n. 妓女
turkish	adj. 土耳其的；土耳其人的；土耳其语的|adj. 突厥语族的
turmoil	n. 混乱；动荡|n. 艰辛；困扰|v. 陷入骚动；心神不宁|v. 使困扰；使陷入骚动
turn	n. 转向；转动一下|n. 轮到使用；轮流|v. 转动|v. 变成；变得|n. 旋转一周|n. 来回走动|n. 轮班；值班时间|n. 游戏中的行动机会|n. 完成所需时间|n. 眩晕发作|n. 情势变化|n. 对他人的行为
turnaround	n. 转身；转向另一面|n. 政策逆转|n. 任务周转；完成所需时间|n. 局面翻转；情况好转|n. 角色多角度设定图|n. 乐句衔接段|n. 装饰音记号|n. 回去；返回|n. 设备停机检修期|n. 影视项目转售期条款|n. 起飞前周转准备|n. 卫星信号转传
turner	n. 厨房翻面工具|n. 使之转动者|n. 车床工人|n. 体操运动员|n. 特纳综合征患者|n. 翻飞鸽|n. 易使球转动的干燥球场|n. 苏格兰旧铜币|n. 德国体操俱乐部成员
turnover	n. 营业额|n. 周转率；更换频率|n. 翻折馅饼|n. 失去球权|adj. 可翻转的|n. 步频|n. 翻倒；倾覆|n. 排版重叠|n. 转交的学徒
tutor	n. 辅导老师|v. 辅导、指导|n. 大学学生管理人员|n. 班级或班主任时间|n. 监护人|n. 检索牌|v. 严厉管教|v. 检索牌
tv	n. 电视；电视机|n. 重新录制版本|n. 跨性别者的旧式缩写|n. 潮气量|n. 税值
twain	num. 二；两个|n. 一对；两者|adj. 成双的|v. 分成两半；劈开
twelfth	adj. 第十二的|n. 十二分之一|n. 十二度音程
twelve	n. 十二个组成的一组|num. 数字十二|n. 十二人陪审团|n. 警察；缉毒警察|n. 十二号口径的猎枪|n. 正前方
twentieth	adj. 第二十的；第二十个|n. 第二十位的人或物|n. 二十分之一
twenty	num. 二十|n. 二十多岁|n. 二十面值的钞票|n. 所在位置|n. 旧式步兵编制
twenty-first	adj. 第二十一的|n. 第二十一位的人或物|n. 二十一分之一|n. 二十一岁生日聚会
twenty-five	num. 二十五|n. 二十五纸牌游戏|n. 同一种纸牌游戏的别称
twenty-one	num. 二十一；21|n. 二十一点|n. 二十一分篮球游戏
twenty-seven	num. 二十七
twice	adv. 两次；两遍|adv. 两倍；加倍
twin	adj. 成双的；成对的|adj. 双胞胎的|n. 双胞胎中的一个|n. 相似的一件；成对者|n. 双床房|n. 单人床尺寸；单人床|v. 结成对应伙伴|v. 与……相似；与……匹配|v. 成对出现；穿成一样|n. 双发动机飞机|n. 孪晶|n. 兄弟；伙计
twinkle	n. 闪烁的微光|n. 眼中的喜悦神采|v. 闪烁发光|v. 眼中闪现喜悦|n. 轻快的掠动|n. 一瞬间|v. 眨动或闪动眼睛|v. 轻快地来回掠动|n. 女性生殖器的儿童用语
twist	n. 扭转；缠绕；扭转动作或结果|n. 意外转折|v. 拧转；扭转|v. 歪曲话语或事实|n. 扭转力|n. 扭转后的形状|n. 扭转程度；应力|n. 柠檬皮饰|n. 道路的弯折|n. 歪曲含义|n. 扭摆舞|n. 跳水转体
twitter	n. 鸟的啁啾声|n. Twitter 用户账号|v. 鸟连续啁啾|v. 兴奋或紧张地絮叨|n. 断续颤动的声音|n. 神经的轻微颤动|n. Twitter 信息流|n. Twitter 社群|v. 轻声窃笑|v. 紧张激动|v. 发推文、发布更新|n. 隔行显示中的闪烁干扰
two	n. 数字2|num. 二；两个|num. 两个组成的|n. 两美元钞票|n. 两岁儿童|n. 牌面有两个点的纸牌|n. 两点钟|n. 双人镜头
two-bedroom	a. 双卧室的
two-step	n. 双步舞|v. 跳双步舞|adj. 分两步的|n. 双步舞步|n. 双步舞曲|v. 像跳舞一样移动
two-story	两层的
two-thirds	n. 三分之二
two-way	adj. 双向通行的|adj. 双向传送或沟通的|adj. 向相反方向移动或发生的|adj. 双方共同参与的|adj. 结合两套知识体系的|adj. 同时负责进攻和防守的|adj. 涉及两个变量的|n. 辛辛那提辣椒面套餐
two-year-old	[网络] 两岁的；名词；数词
type	n. 类型；类别|n. 喜欢的类型|v. 打字；用打字机输入|v. 键盘输入|n. 典型人物；某类人|n. 血型|n. 数据类型|v. 测定血型|v. 分类|adv. 非常；极其|n. 典型；典范|n. 印刷字体；铅字
typewriter	n. 打字机|n. 打字员|n. 机枪；冲锋枪（俚语）|n. 一种戳胸并敲耳的恶作剧
typhoon	n. 台风；强烈热带气旋|n. 西北太平洋的台风|n. 台风战斗机|n. 二战时期的台风战斗轰炸机|v. 像飓风一样旋转
typical	adj. 典型的；有代表性的|adj. 通常的；正常的|adj. 概括整体特征的|adj. 分类学中的模式类群的|n. 典型事物；标准类型
typically	adv. 通常；一般来说|adv. 惯常地；按惯例
typify	vt. 代表, 象征, 为...之典型
typist	n. 打字员
tzu	n. (Tzu)人名；(东南亚国家华语)滋
u	n. 字母 U|adj. 水下的缩写|adj. 上层阶级的|adj. united 的缩写|adj. upper 的缩写|adj. 未分类的缩写|adj. 电影分级“适合所有年龄”|n. U 形物|n. 掉头|n. 大学的缩写|n. 星期日的缩写|n. 英国 U 级电影
uc	n. 溃疡性结肠炎|n. 微控制器|n. 大写|n. 上层种姓|n. 联合保守派人士|n. 超大容量
ucas	(uca 的复数) abbr. upper control area 上部控制区
